qualtrics_id,DeNeys_familiarity,task,item,strength,choice,preference_type
R_1lnLF0rQ3biXSbK,"I'm not sure, maybe",DeNeys,gender,maybe,man,description
R_1lnLF0rQ3biXSbK,"I'm not sure, maybe",DeNeys,age,definitely,sixteen,description
R_3NV67BeT8swOBOf,"I'm not sure, maybe",DeNeys,gender,maybe,woman,distribution
R_3NV67BeT8swOBOf,"I'm not sure, maybe",DeNeys,age,maybe,sixteen,description
R_2dlRKzx851f1Yd9,No,DeNeys,gender,maybe,man,description
R_2dlRKzx851f1Yd9,No,DeNeys,age,definitely,sixteen,description
R_3Mm44PUN5bz3OjI,No,DeNeys,gender,maybe,man,description
R_3Mm44PUN5bz3OjI,No,DeNeys,age,definitely,sixteen,description
R_3kiI8D41vqe0qhI,No,DeNeys,gender,definitely,woman,distribution
R_3kiI8D41vqe0qhI,No,DeNeys,age,maybe,sixteen,description
R_0SrX3uRtXaupbhv,No,DeNeys,gender,definitely,man,description
R_0SrX3uRtXaupbhv,No,DeNeys,age,definitely,sixteen,description
R_1jE3EICtKRqcSDb,No,DeNeys,gender,maybe,man,description
R_1jE3EICtKRqcSDb,No,DeNeys,age,maybe,sixteen,description
R_u4J8rwDfOmm4gYV,No,DeNeys,gender,maybe,woman,distribution
R_u4J8rwDfOmm4gYV,No,DeNeys,age,maybe,sixteen,description
R_1F9e3CRe4Tb8JhE,No,DeNeys,gender,definitely,man,description
R_1F9e3CRe4Tb8JhE,No,DeNeys,age,definitely,sixteen,description
R_Qb1tzaskoeU0kLf,No,DeNeys,gender,maybe,woman,distribution
R_Qb1tzaskoeU0kLf,No,DeNeys,age,maybe,forty,distribution
R_1rkpS180enmUysj,"I'm not sure, maybe",DeNeys,gender,maybe,woman,distribution
R_1rkpS180enmUysj,"I'm not sure, maybe",DeNeys,age,maybe,forty,distribution
R_2EE1eoKCYITmD0x,No,DeNeys,gender,maybe,woman,distribution
R_2EE1eoKCYITmD0x,No,DeNeys,age,definitely,sixteen,description
R_2cbkPzQkCJBHWyP,Yes,DeNeys,gender,maybe,woman,distribution
R_2cbkPzQkCJBHWyP,Yes,DeNeys,age,maybe,forty,distribution
R_1jTzy25ZCEPdmH8,No,DeNeys,gender,definitely,man,description
R_1jTzy25ZCEPdmH8,No,DeNeys,age,definitely,sixteen,description
R_tFgpQ636MClxHSV,No,DeNeys,gender,maybe,man,description
R_tFgpQ636MClxHSV,No,DeNeys,age,maybe,sixteen,description
R_8AGSWBQpPasvjmp,No,DeNeys,gender,maybe,woman,distribution
R_8AGSWBQpPasvjmp,No,DeNeys,age,maybe,sixteen,description
R_1lid60axyi9vYiM,No,DeNeys,gender,maybe,woman,distribution
R_1lid60axyi9vYiM,No,DeNeys,age,maybe,forty,distribution
R_1gdWv5GX938t7rt,No,DeNeys,gender,maybe,woman,distribution
R_1gdWv5GX938t7rt,No,DeNeys,age,maybe,forty,distribution
R_2Yhxe1EG3CUlYJK,No,DeNeys,gender,maybe,woman,distribution
R_2Yhxe1EG3CUlYJK,No,DeNeys,age,maybe,forty,distribution
R_1Tv8RlXGXRDH6BX,No,DeNeys,gender,definitely,man,description
R_1Tv8RlXGXRDH6BX,No,DeNeys,age,maybe,sixteen,description
R_2Vsg4M2YZmMyKjz,Yes,DeNeys,gender,maybe,man,description
R_2Vsg4M2YZmMyKjz,Yes,DeNeys,age,maybe,forty,distribution
R_2zJceBDE6LOaCWz,No,DeNeys,gender,maybe,man,description
R_2zJceBDE6LOaCWz,No,DeNeys,age,maybe,sixteen,description
R_stJitSzH6fcoJQl,No,DeNeys,gender,maybe,man,description
R_stJitSzH6fcoJQl,No,DeNeys,age,definitely,sixteen,description
R_3KGtFOTeQp59TIC,No,DeNeys,gender,maybe,man,description
R_3KGtFOTeQp59TIC,No,DeNeys,age,maybe,sixteen,description
R_2BmMaK6qZ72JwUo,No,DeNeys,gender,definitely,man,description
R_2BmMaK6qZ72JwUo,No,DeNeys,age,definitely,sixteen,description
R_3MGMh9Sgp0iytxz,No,DeNeys,gender,maybe,woman,distribution
R_3MGMh9Sgp0iytxz,No,DeNeys,age,maybe,sixteen,description
R_3nNkwMznbY5izlu,"I'm not sure, maybe",DeNeys,gender,maybe,woman,distribution
R_3nNkwMznbY5izlu,"I'm not sure, maybe",DeNeys,age,maybe,forty,distribution
R_3CEjKH1BmzA1CDY,Yes,DeNeys,gender,maybe,man,description
R_3CEjKH1BmzA1CDY,Yes,DeNeys,age,definitely,sixteen,description
R_1megTnQP8WMXclK,"I'm not sure, maybe",DeNeys,gender,maybe,man,description
R_1megTnQP8WMXclK,"I'm not sure, maybe",DeNeys,age,maybe,sixteen,description
R_OcAp18mvbm16c3T,No,DeNeys,gender,definitely,man,description
R_OcAp18mvbm16c3T,No,DeNeys,age,definitely,sixteen,description
R_1jwVt6I2kp6hzC1,No,DeNeys,gender,maybe,man,description
R_1jwVt6I2kp6hzC1,No,DeNeys,age,definitely,sixteen,description
R_0V8O8mrLiHO3Ghj,"I'm not sure, maybe",DeNeys,gender,definitely,woman,distribution
R_0V8O8mrLiHO3Ghj,"I'm not sure, maybe",DeNeys,age,maybe,sixteen,description
R_3p3Glk1o4y2BcRe,No,DeNeys,gender,definitely,man,description
R_3p3Glk1o4y2BcRe,No,DeNeys,age,definitely,sixteen,description
R_BSs3rMfzpVPA9vH,No,DeNeys,gender,definitely,man,description
R_BSs3rMfzpVPA9vH,No,DeNeys,age,definitely,sixteen,description
R_38d0yOIMg2IDKPD,No,DeNeys,gender,definitely,man,description
R_38d0yOIMg2IDKPD,No,DeNeys,age,definitely,sixteen,description
R_2EygJSPG6ZHxoZT,No,DeNeys,gender,maybe,woman,distribution
R_2EygJSPG6ZHxoZT,No,DeNeys,age,maybe,forty,distribution
R_27UO1S0s3ieEoLA,No,DeNeys,gender,maybe,man,description
R_27UO1S0s3ieEoLA,No,DeNeys,age,definitely,forty,distribution
R_1HhiPBhEZlHHZjR,No,DeNeys,gender,maybe,woman,distribution
R_1HhiPBhEZlHHZjR,No,DeNeys,age,maybe,forty,distribution
R_erJc3hejUWXXmtb,No,DeNeys,gender,maybe,man,description
R_erJc3hejUWXXmtb,No,DeNeys,age,definitely,sixteen,description
R_NVYrJklfFqRVOnv,No,DeNeys,gender,definitely,man,description
R_NVYrJklfFqRVOnv,No,DeNeys,age,definitely,sixteen,description
R_1E0SHQwiV6CXRoo,No,DeNeys,gender,maybe,woman,distribution
R_1E0SHQwiV6CXRoo,No,DeNeys,age,maybe,sixteen,description
R_3frS5bkaT1hzbPh,No,DeNeys,gender,maybe,man,description
R_3frS5bkaT1hzbPh,No,DeNeys,age,definitely,sixteen,description
R_2xUVpbmJeDe1jXl,No,DeNeys,gender,maybe,man,description
R_2xUVpbmJeDe1jXl,No,DeNeys,age,definitely,sixteen,description
R_2EbOvBx5lJjFEVs,"I'm not sure, maybe",DeNeys,gender,maybe,man,description
R_2EbOvBx5lJjFEVs,"I'm not sure, maybe",DeNeys,age,definitely,sixteen,description
R_STy7opVLSgSa2uB,No,DeNeys,gender,maybe,woman,distribution
R_STy7opVLSgSa2uB,No,DeNeys,age,definitely,sixteen,description
R_diIFyEHcBgROYzn,Yes,DeNeys,gender,maybe,man,description
R_diIFyEHcBgROYzn,Yes,DeNeys,age,definitely,sixteen,description
R_3QK5ztYed67Jvtt,No,DeNeys,gender,maybe,woman,distribution
R_3QK5ztYed67Jvtt,No,DeNeys,age,maybe,forty,distribution
R_241VRfsvJFmogaX,No,DeNeys,gender,definitely,man,description
R_241VRfsvJFmogaX,No,DeNeys,age,definitely,sixteen,description
R_Z4dlGjBixAkvcWZ,No,DeNeys,gender,definitely,woman,distribution
R_Z4dlGjBixAkvcWZ,No,DeNeys,age,definitely,sixteen,description
R_1kH6NuS3MFdCgvH,No,DeNeys,gender,maybe,woman,distribution
R_1kH6NuS3MFdCgvH,No,DeNeys,age,maybe,sixteen,description
R_2c60t6KOIDTWPQb,No,DeNeys,gender,maybe,man,description
R_2c60t6KOIDTWPQb,No,DeNeys,age,maybe,sixteen,description
R_3NxnmHwGoDxtu4s,No,DeNeys,gender,maybe,woman,distribution
R_3NxnmHwGoDxtu4s,No,DeNeys,age,maybe,forty,distribution
R_3imx2cnhkoJOQDk,No,DeNeys,gender,maybe,man,description
R_3imx2cnhkoJOQDk,No,DeNeys,age,maybe,sixteen,description
R_2UbCC7xz1UziliD,No,DeNeys,gender,maybe,man,description
R_2UbCC7xz1UziliD,No,DeNeys,age,maybe,sixteen,description
R_3e4uf0BTRRix7Q1,No,DeNeys,gender,maybe,woman,distribution
R_3e4uf0BTRRix7Q1,No,DeNeys,age,maybe,forty,distribution
R_25FgHNiNx7jLHy1,No,DeNeys,gender,definitely,woman,distribution
R_25FgHNiNx7jLHy1,No,DeNeys,age,definitely,forty,distribution
R_tMnOA18LivcWZTH,"I'm not sure, maybe",DeNeys,gender,definitely,man,description
R_tMnOA18LivcWZTH,"I'm not sure, maybe",DeNeys,age,definitely,sixteen,description
R_ZrhKf7z3vIvV5Dj,No,DeNeys,gender,definitely,woman,distribution
R_ZrhKf7z3vIvV5Dj,No,DeNeys,age,definitely,forty,distribution
R_3qQgm6HU6SzL5rW,"I'm not sure, maybe",DeNeys,gender,definitely,woman,distribution
R_3qQgm6HU6SzL5rW,"I'm not sure, maybe",DeNeys,age,definitely,sixteen,description
R_RgdaG1r6ySaED3b,"I'm not sure, maybe",DeNeys,gender,maybe,woman,distribution
R_RgdaG1r6ySaED3b,"I'm not sure, maybe",DeNeys,age,maybe,sixteen,description
R_1dLxziNIY5kGLjd,No,DeNeys,gender,definitely,woman,distribution
R_1dLxziNIY5kGLjd,No,DeNeys,age,maybe,forty,distribution
R_3NCjdjlKV3JNqyx,No,DeNeys,gender,definitely,man,description
R_3NCjdjlKV3JNqyx,No,DeNeys,age,definitely,sixteen,description
R_1pRLQotumrUJQrp,No,DeNeys,gender,definitely,man,description
R_1pRLQotumrUJQrp,No,DeNeys,age,definitely,sixteen,description
R_28zFXIh1LYIaHcN,"I'm not sure, maybe",DeNeys,gender,definitely,woman,distribution
R_28zFXIh1LYIaHcN,"I'm not sure, maybe",DeNeys,age,definitely,forty,distribution
R_powEV8HrAm5kefT,No,DeNeys,gender,definitely,woman,distribution
R_powEV8HrAm5kefT,No,DeNeys,age,maybe,forty,distribution
R_2SeJv2phDwASPUs,No,DeNeys,gender,maybe,man,description
R_2SeJv2phDwASPUs,No,DeNeys,age,maybe,sixteen,description
R_AhTggtRHxH6xrTb,No,DeNeys,gender,maybe,man,description
R_AhTggtRHxH6xrTb,No,DeNeys,age,maybe,sixteen,description
R_OxLEJkniZlsCYut,No,DeNeys,gender,definitely,woman,distribution
R_OxLEJkniZlsCYut,No,DeNeys,age,definitely,forty,distribution
R_3CE2gCFZK0jtWCd,Yes,DeNeys,gender,maybe,man,description
R_3CE2gCFZK0jtWCd,Yes,DeNeys,age,definitely,sixteen,description
R_1GPuj1DFOUqlnm3,No,DeNeys,gender,maybe,man,description
R_1GPuj1DFOUqlnm3,No,DeNeys,age,maybe,forty,distribution
R_3fN584buVNFokdb,No,DeNeys,gender,maybe,woman,distribution
R_3fN584buVNFokdb,No,DeNeys,age,maybe,forty,distribution
R_Zn7GJrKUdp5u6EV,No,DeNeys,gender,maybe,woman,distribution
R_Zn7GJrKUdp5u6EV,No,DeNeys,age,maybe,forty,distribution
R_3rMN6IUjtWzaYdA,"I'm not sure, maybe",DeNeys,gender,maybe,man,description
R_3rMN6IUjtWzaYdA,"I'm not sure, maybe",DeNeys,age,maybe,sixteen,description
R_3ltzn1PhZN7PqBn,Yes,DeNeys,gender,definitely,woman,distribution
R_3ltzn1PhZN7PqBn,Yes,DeNeys,age,maybe,sixteen,description
R_pgCwFopl4N7tYjf,No,DeNeys,gender,definitely,woman,distribution
R_pgCwFopl4N7tYjf,No,DeNeys,age,maybe,sixteen,description
R_22Jp6grkS81F9Gj,No,DeNeys,gender,maybe,woman,distribution
R_22Jp6grkS81F9Gj,No,DeNeys,age,maybe,sixteen,description
R_30pNjxW806uuPXi,No,DeNeys,gender,maybe,man,description
R_30pNjxW806uuPXi,No,DeNeys,age,maybe,forty,distribution
R_3mfbXcSlJMSlbJg,No,DeNeys,gender,maybe,woman,distribution
R_3mfbXcSlJMSlbJg,No,DeNeys,age,maybe,forty,distribution
R_1eDGwWwkcJ4RcHh,No,DeNeys,gender,definitely,woman,distribution
R_1eDGwWwkcJ4RcHh,No,DeNeys,age,definitely,forty,distribution
R_27qyv5Bel1mqFxf,"I'm not sure, maybe",DeNeys,gender,definitely,woman,distribution
R_27qyv5Bel1mqFxf,"I'm not sure, maybe",DeNeys,age,definitely,forty,distribution
R_AzBa4CxaQ0AUFP3,No,DeNeys,gender,definitely,woman,distribution
R_AzBa4CxaQ0AUFP3,No,DeNeys,age,maybe,sixteen,description
R_2TLxKvKECbsTFdR,No,DeNeys,gender,maybe,woman,distribution
R_2TLxKvKECbsTFdR,No,DeNeys,age,maybe,sixteen,description
R_1f41O3bT8d4qnCS,No,DeNeys,gender,maybe,woman,distribution
R_1f41O3bT8d4qnCS,No,DeNeys,age,maybe,sixteen,description
R_50hX07iWPUyBvdD,No,DeNeys,gender,maybe,woman,distribution
R_50hX07iWPUyBvdD,No,DeNeys,age,maybe,forty,distribution
R_1eE6wx2nF8cvSOT,No,DeNeys,gender,definitely,woman,distribution
R_1eE6wx2nF8cvSOT,No,DeNeys,age,definitely,sixteen,description
R_2P8cJ2lBsyjGTlB,No,DeNeys,gender,definitely,man,description
R_2P8cJ2lBsyjGTlB,No,DeNeys,age,maybe,sixteen,description
R_3sv4xw6L5zoVixI,"I'm not sure, maybe",DeNeys,gender,maybe,man,description
R_3sv4xw6L5zoVixI,"I'm not sure, maybe",DeNeys,age,definitely,sixteen,description
R_27PhNRrx7TiOnxL,No,DeNeys,gender,maybe,woman,distribution
R_27PhNRrx7TiOnxL,No,DeNeys,age,maybe,forty,distribution
R_ZsMPn5XJ1D0EdDX,No,DeNeys,gender,maybe,woman,distribution
R_ZsMPn5XJ1D0EdDX,No,DeNeys,age,maybe,sixteen,description
R_3qJsVNh0pu6O3Dv,No,DeNeys,gender,definitely,woman,distribution
R_3qJsVNh0pu6O3Dv,No,DeNeys,age,maybe,forty,distribution
R_1BW5H5J1jQFEpuk,No,DeNeys,gender,maybe,woman,distribution
R_1BW5H5J1jQFEpuk,No,DeNeys,age,maybe,forty,distribution
R_s6iUmY4UoTzeaPv,No,DeNeys,gender,definitely,man,description
R_s6iUmY4UoTzeaPv,No,DeNeys,age,maybe,sixteen,description
R_9SPpgQJ7iKbQSKR,No,DeNeys,gender,definitely,man,description
R_9SPpgQJ7iKbQSKR,No,DeNeys,age,definitely,sixteen,description
R_DVkTUcJQPPTUhd7,No,DeNeys,gender,maybe,man,description
R_DVkTUcJQPPTUhd7,No,DeNeys,age,definitely,forty,distribution
R_qznZkCoLEOW5237,No,DeNeys,gender,definitely,man,description
R_qznZkCoLEOW5237,No,DeNeys,age,definitely,forty,distribution
R_1ONTbHt5TJisuds,No,DeNeys,gender,maybe,man,description
R_1ONTbHt5TJisuds,No,DeNeys,age,maybe,sixteen,description
R_1OE4UYt6m2Rizjh,Yes,DeNeys,gender,maybe,woman,distribution
R_1OE4UYt6m2Rizjh,Yes,DeNeys,age,maybe,sixteen,description
R_3382OQGsnwVdry2,No,DeNeys,gender,maybe,woman,distribution
R_3382OQGsnwVdry2,No,DeNeys,age,maybe,forty,distribution
R_2diK6ujlpXeIGGg,No,DeNeys,gender,maybe,woman,distribution
R_2diK6ujlpXeIGGg,No,DeNeys,age,maybe,forty,distribution
R_OxUZEqBHHiUOFot,"I'm not sure, maybe",DeNeys,gender,definitely,woman,distribution
R_OxUZEqBHHiUOFot,"I'm not sure, maybe",DeNeys,age,definitely,forty,distribution
